Уровень,Знак / Символ,Элемент / Стихия,Архетип / Образ,Этап ФДЛ,Соответствие (Менделеев),Канал / Лестница Иакова
1,Пыль,Земля,Сон,до-тезис,H,Прах
2,Искра,Огонь,Зачатие,тезис,He,Искра духа
3,Вихрь,Воздух,Импульс,анти-тезис,Li,Ветер-слово
4,Корень,Вода,Корень жизни,тезис,Be,Вода памяти
5,Плод,Эфир,Созревание,синтез,B,Живот
6,Перо,Свет,Посланник,анти-тезис,C,Крыло
7,Ключ,Электричество,Замок,синтез,N,Открытие
8,Река,Ток,Поток,тезис,O,Река времён
9,Мост,Вода,Переход,анти-тезис,F,Граница
10,Башня,Камень,Опора,синтез,Ne,Крепость
11,Лестница,Металл,Подъём,тезис,Na,Подъёмник
12,Сфера,Эфир,Целостность,анти-тезис,Mg,Купол
13,Огонь,Огонь,Преображение,синтез,Al,Очищение
14,Звезда,Свет,Путь,тезис,Si,Навигация
15,Дерево,Древо,Мудрость,анти-тезис,P,Ветвь жизни
16,Тень,Песок,Скрытое,синтез,S,Тень знаний
17,Лучи,Излучение,Откровение,тезис,Cl,Светоносность
18,Кристалл,Лёд,Замерзшее,анти-тезис,Ar,Замер
19,Свет,Плазма,Освобождение,синтез,K,Переход
20,Око,Зрение,Созерцание,тезис,Ca,Око Бога
21,Голос,Звук,Зов,анти-тезис,Sc,Голос неба
22,Слово,Речь,Начало Логоса,сверх-синтез,Ti,Слово как печать
