Код,Графема (описание),Категория,Принадлежность/род,Время,Источник в книге,Артефакт/Контекст,Современная геральдика (пример),Примечание
B-01,"Сложная тамга: верх — геометрический элемент (круг/треугольник/четырёхугольник), низ — разветвлённая стойка; увенчана венками Ники",Царский знак Боспора,Тиберий Эвпатор (боспорский царь),II в. н.э.,"табл. XII: 909–…; XIII: 1, 4–44; XIV: 5, 1–13; XIV: 10",Плита с надписью Евпатерия; Таманская плита; пряжки из Эрмитажа и Одесского археологического музея,— (прямых повторов в госсимволике нет),Типовая формула 'верхняя фигура + опора' прослеживается на ряде плит и пряжек
B-02,"Сложная тамга: сходная формула, отличия в верхней части по сравнению с B-01",Царский знак Боспора,Савромат II,173/174–210/211 гг.,описан на строительных плитах времени Савромата II,Плиты с надписями; сравнение нижней части со знаком Тиберия Эвпатора,—,Нижняя часть общая с B‑01; различается верх
B-03,Попытка повторить знак Савромата II с изменениями в верхней части,Царский знак Боспора,Рескупорид III (сын Савромата II),210/211–226/227 гг.,упоминается на плитах со строительными надписями,Строительные плиты,—,"Мастер пытался начертить знак, похожий на знак Савромата II"
B-04,Сложная тамга с иной верхней частью; встречается рядом со знаком Тиберия Эвпатора,Царский знак Боспора (гипотетически),Реметалк (приписывается с оговорками),конец I — сер. III вв.,"табл. XIII: 1, 11, 16–17; XIV: 7, 1–4",Танаисская плита 1964 г.; пряжки из Крыма,—,Принадлежность спорная; датировка по типу изделий и контексту
B-05,Сложная тамга с многочисленными вариациями и родственными формами,Царский знак Боспора,Ининфимей,234/235–239/240 гг.,упоминается на строительных плитах Ининфимея,Две керченские плиты с множеством знаков; спина одного из ольвийских львов,—,Аналогии ищутся среди «рассыпанных» знаков на плитах и у ольвийских львов
S-01,«Развилка» из двух ломаных линий (трёхзубная/вилкообразная конфигурация),Сарматская тамга (типовой элемент),Сарматы (разные роды),I в. до н.э. — III в. н.э.,сравнение на плите Евпатерия и на ольвийском льве,Ольвийские львы; реконструкция второго знака на плите Евпатерия,Украина — современный тризуб,"Не тождественен тризубу, но типологически близок по графеме"
S-02,Т‑образная тамга с боковыми «зубцами» (Тарак‑тамга),Тамга тюркского круга,Крымские татары (династия Гиреев → этнос),c XIV–XV вв.; модерн — XX–XXI вв.,— (вне боспорского корпуса; включено как живая традиция Причерноморья),Флаг крымских татар; герб/флаг учреждений и общин,Этнический флаг крымских татар; гербы/флаги Тараклии (Молдова),Показывает прямую непрерывность тамг в современной символике
S-03,"Крюко‑образные и Г‑образные знаки (скоба с хвостом, крюк с перекладиной)",Сарматские тамги (формы‑основания),Сарматы (разные роды),I–III вв.,корпус табл. XII–XIV (номера 894–949 и др.),"Различные пряжки, печати, плиты",— (локальные гербы с тамгами народов степи),Составляют значительную часть «алфавита» тамг
S-04,"Ромб/квадрат на стойке («ромб с хвостом»), иногда с перекладинами",Сарматские тамги / царские модификации,Сарматские и боспорские контексты,I–III вв.,табл. XIII–XIV (варианты верхних геометрий),"Плиты, пряжки",Польский герб Остоя (версия о сарматском происхождении),Гипотеза о происхождении ряда польских гербов от тамг
S-05,П‑образная скоба на опоре/без опоры,Сарматские тамги (формы‑основания),Сарматы,I–III вв.,табл. XII–XIV (обобщённо),"Пряжки, плитки",—,Одна из базовых графем
S-06,"Стойка с поперечиной(ями) (Т‑, Ш‑, Н‑подобные построения)",Сарматские тамги (формы‑основания),Сарматы,I–III вв.,табл. XII–XIV (обобщённо),"Каменные плиты, пряжки",—,Часто комбинируется с верхними геометриями
S-07,Кольцо/круг («О») с «ножкой»/стойкой,Сарматские и царские знаки,Сарматы; Боспор (варианты),I–III вв.,табл. XIII–XIV,"Плиты Боспора, пряжки",—,Частый верхний модуль в царских знаках
S-08,Трезубная/вилкообразная стойка под геометрией,Сарматские и царские знаки,Сарматы; Боспор,I–III вв.,табл. XII–XIV,"Плиты, львы Ольвии",Украина — тризуб (как родственный тип),Нижняя часть часто инвариантна в ряде царских знаков
E-01,Тризуб (историческая тамга Рюриковичей → современный герб),Династический знак / национальная эмблема,Рюриковичи (Киевская Русь) → Украина,X–XI вв.; 1918; 1992–н.в.,— (включено как источник‑«сосед» степной традиции),Печати и монеты Владимира Святого; гос. герб Украины,Герб Украины,Происхождение обсуждается; в историографии связывается с традицией тамг
E-02,Тамги тюркских и ирано‑сарматских родов (обобщённый корпус ~1000 графем),Корпус знаков (алфавит форм),"Сарматы, боспорская среда, соседние культуры",I в. до н.э. — III в. н.э.,табл. I–L (ок. 1000 знаков),"Пряжки, печати, плиты (Танаис, Керчь), Ольвия","Флаги/гербы народов степи (ногайцы, крымские татары и др.)",Систематизирован в таблицах; служит основой для «алфавита»
